"","gene","module"
"Epb41l5","Epb41l5",1
"GSTA3_containing_gene2570","GSTA3_containing_gene2570",1
"MTMR3","MTMR3",1
"Snx4","Snx4",0
"AFG3L1P_containing_gene25709","AFG3L1P_containing_gene25709",17
"Agl","Agl",2
"Rgs4","Rgs4",0
"ECE1_containing_gene25725","ECE1_containing_gene25725",16
"LOC110597347","LOC110597347",14
"CHD1L","CHD1L",14
"DEF8_containing","DEF8_containing",2
"STAG1_like","STAG1_like",16
"UNC5D_gene25737","UNC5D_gene25737",3
"TMEM132B_like_gene25747","TMEM132B_like_gene25747",1
"Ralgapa2","Ralgapa2",3
"Tmem14a","Tmem14a",1
"LOC106145554","LOC106145554",16
"ECE1_containing_gene25753","ECE1_containing_gene25753",16
"Gng10","Gng10",0
"DDX10_like","DDX10_like",0
"Tram2","Tram2",0
"TMEM132B_like_gene25779","TMEM132B_like_gene25779",0
"Efhc1","Efhc1",1
"LOC101973713","LOC101973713",0
"AUTS2_like","AUTS2_like",1
"Znf8","Znf8",1
"CHRNA7_containing","CHRNA7_containing",1
"ARHGAP29","ARHGAP29",9
"Paqr8","Paqr8",1
"GBP6_like","GBP6_like",10
"LOC101977637","LOC101977637",0
"Dirc2","Dirc2",1
"FAM84A","FAM84A",2
"Ptpn4","Ptpn4",5
"ZMYND8_containing","ZMYND8_containing",17
"Iglon5","Iglon5",4
"Vsig10l","Vsig10l",0
"Etfb","Etfb",1
"SIGLEC10_like","SIGLEC10_like",6
"LOC110597501","LOC110597501",1
"LOC101958661","LOC101958661",2
"CUNH8orf33","CUNH8orf33",1
"Znf16","Znf16",2
"VWA8","VWA8",6
"Mcm3","Mcm3",2
"Ppfibp1","Ppfibp1",2
"LOC101963221","LOC101963221",0
"FTH1_gene25869","FTH1_gene25869",0
"WDFY3_containing","WDFY3_containing",1
"RELN","RELN",0
"ZNF717_containing_gene25885","ZNF717_containing_gene25885",0
"PABPC1L2B_like_gene25887","PABPC1L2B_like_gene25887",2
"PABPC1L2B_like_gene25888","PABPC1L2B_like_gene25888",2
"STX18_like","STX18_like",17
"HEATR5B_containing","HEATR5B_containing",0
"LOC110597375","LOC110597375",2
"ZNF208_like_gene25907","ZNF208_like_gene25907",1
"OSBPL11_like","OSBPL11_like",0
"LOC110597380","LOC110597380",0
"SPIRE2_like","SPIRE2_like",0
"S1pr3","S1pr3",4
"LOC101970817","LOC101970817",1
"LOC110597384","LOC110597384",3
"PIKFYVE_like","PIKFYVE_like",17
"LOC110597387","LOC110597387",6
"YBX3","YBX3",0
"TIPARP_containing","TIPARP_containing",0
"LOC110597392","LOC110597392",1
"Tmem177","Tmem177",2
"ATAD2B","ATAD2B",1
"GALM_like","GALM_like",2
"RGS3","RGS3",8
"ADGRV1","ADGRV1",0
"FOLH1","FOLH1",8
"LOC110597400","LOC110597400",0
"WBP11_like_gene26033","WBP11_like_gene26033",2
"MYH6","MYH6",0
"MYH7_gene26042","MYH7_gene26042",2
"LOC110597402","LOC110597402",1
"Znf568","Znf568",2
"LOC101955775","LOC101955775",0
"LOC110597403","LOC110597403",17
"LOC101958384","LOC101958384",16
"SLC3A2","SLC3A2",2
"Cenpq","Cenpq",0
"Mut","Mut",4
"SGSM1","SGSM1",2
"Cfap221","Cfap221",6
"Mcur1","Mcur1",6
"ZNF844_like_gene26104","ZNF844_like_gene26104",0
"TMED9_like","TMED9_like",5
"ANKRD11_containing_gene26121","ANKRD11_containing_gene26121",6
"TMLHE_containing","TMLHE_containing",0
"DHCR7_containing","DHCR7_containing",4
"Zscan12","Zscan12",0
"Slc39a14","Slc39a14",1
"LOC101957328","LOC101957328",0
"LOC101958475","LOC101958475",0
"TAMM41_containing","TAMM41_containing",14
"Ptchd4","Ptchd4",0
"LOC110597422","LOC110597422",6
"MC1R_containing","MC1R_containing",17
"ARPC3_gene26162","ARPC3_gene26162",2
"LOC101963607","LOC101963607",0
"ARHGAP29_containing_gene26167","ARHGAP29_containing_gene26167",3
"ENPP1","ENPP1",1
"TRAK1_containing","TRAK1_containing",5
"LOC106145596","LOC106145596",1
"CYB561D2_like_gene26181","CYB561D2_like_gene26181",14
"Nprl2","Nprl2",1
"LOC106145598","LOC106145598",2
"ZNF546_containing","ZNF546_containing",2
"Cd2ap","Cd2ap",3
"Bloc1s2","Bloc1s2",0
"Ccdc71l","Ccdc71l",2
"KCNA5","KCNA5",2
"Tnfrsf21","Tnfrsf21",1
"Vcpkmt","Vcpkmt",14
"HBG2_like","HBG2_like",2
"AOC2_like","AOC2_like",1
"HACL1_containing","HACL1_containing",3
"ZKSCAN3_containing","ZKSCAN3_containing",1
"C3_gene26229","C3_gene26229",1
"GOT2_gene26236","GOT2_gene26236",2
"Adgrf5","Adgrf5",2
"KTN1_containing","KTN1_containing",2
"A4GALT_like","A4GALT_like",8
"LOC101961622","LOC101961622",3
"Ankrd66","Ankrd66",4
"Thap12","Thap12",1
"Pla2g7","Pla2g7",0
"Tdrd6","Tdrd6",2
"RBM19_like","RBM19_like",0
"Rep15","Rep15",0
"ZNF525_containing_gene26287","ZNF525_containing_gene26287",3
"Slc25a27","Slc25a27",2
"CHRFAM7A_like","CHRFAM7A_like",17
"CYP39A1_like","CYP39A1_like",1
"LOC101974928","LOC101974928",3
"GSTM4_like_gene26308","GSTM4_like_gene26308",18
"Rcan2","Rcan2",4
"LOC106145616","LOC106145616",2
"NSA2","NSA2",2
"Enpp5","Enpp5",2
"DUSP18_gene26320","DUSP18_gene26320",1
"DUSP7_gene26322","DUSP7_gene26322",1
"Enpp4","Enpp4",11
"Dusp23","Dusp23",0
"LOC106145621","LOC106145621",1
"LOC110597448","LOC110597448",2
"LOC110597486","LOC110597486",1
"NBEAL1","NBEAL1",2
"Clic5","Clic5",6
"RABEP2_like","RABEP2_like",4
"LOC110597452","LOC110597452",1
"NSA2_like_gene26369","NSA2_like_gene26369",2
"Runx2","Runx2",2
"SMS_gene26370","SMS_gene26370",0
"Tdp2","Tdp2",4
"NCL","NCL",0
"Supt3h","Supt3h",4
"Dbi","Dbi",10
"Cdc5l","Cdc5l",9
"Aars2","Aars2",4
"Tcte1","Tcte1",1
"Tmem151b","Tmem151b",2
"Nfkbie","Nfkbie",1
"Slc35b2","Slc35b2",6
"Hsp90ab1","Hsp90ab1",0
"Slc29a1","Slc29a1",0
"CUNH2orf76","CUNH2orf76",2
"Tmem63b","Tmem63b",1
"Mrpl14","Mrpl14",0
"Vegfa","Vegfa",6
"Mrps18a","Mrps18a",13
"Rsph9","Rsph9",0
"Mad2l1bp","Mad2l1bp",1
"Gtpbp2","Gtpbp2",2
"Polh","Polh",2
"Xpo5","Xpo5",6
"Polr1c","Polr1c",1
"Yipf3","Yipf3",2
"Lrrc73","Lrrc73",3
"Tjap1","Tjap1",0
"Dlk2","Dlk2",0
"Abcc10","Abcc10",3
"Znf318","Znf318",0
"Ttbk1","Ttbk1",0
"Dnph1","Dnph1",4
"Cul9","Cul9",4
"Srf","Srf",1
"Ptk7","Ptk7",3
"Klc4","Klc4",6
"Mrpl2","Mrpl2",2
"Cul7","Cul7",1
"Rrp36","Rrp36",2
"Steap3","Steap3",3
"Klhdc3","Klhdc3",7
"Mea1","Mea1",2
"Ppp2r5d","Ppp2r5d",7
"Pex6","Pex6",1
"GNMT_like","GNMT_like",0
"Cnpy3","Cnpy3",1
"Rpl7l1","Rpl7l1",6
"Bicral","Bicral",5
"Tbcc","Tbcc",2
"C1ql2","C1ql2",4
"Ubr2","Ubr2",5
"Trerf1","Trerf1",1
"Mrps10","Mrps10",0
"Taf8","Taf8",6
"Ccnd3","Ccnd3",3
"Bysl","Bysl",8
"Med20","Med20",4
"Usp49","Usp49",0
"Tomm6","Tomm6",1
"Prickle4","Prickle4",0
"Frs3","Frs3",1
"Tfeb","Tfeb",8
"Foxp4","Foxp4",0
"Trem2","Trem2",0
"Nfya","Nfya",4
"Oard1","Oard1",0
"Unc5cl","Unc5cl",1
"Lrfn2","Lrfn2",7
"Mocs1","Mocs1",1
"Insig2","Insig2",6
"Daam2","Daam2",8
"Kif6","Kif6",3
"Kcnk5","Kcnk5",11
"Saysd1","Saysd1",5
"Glp1r","Glp1r",4
"Ccdc93","Ccdc93",6
"Glo1","Glo1",2
"Btbd9","Btbd9",1
"Zfand3","Zfand3",5
"LOC110597508","LOC110597508",2
"Mdga1","Mdga1",0
"Ccdc167","Ccdc167",1
"LOC101975536","LOC101975536",0
"Cmtr1","Cmtr1",1
"Rnf8","Rnf8",0
"Tbc1d22b","Tbc1d22b",2
"Pim1","Pim1",0
"Fgd2","Fgd2",6
"Mtch1","Mtch1",3
"Ddx18","Ddx18",5
"Pi16","Pi16",2
"CUNH6orf89","CUNH6orf89",1
"Ppil1","Ppil1",1
"Cpne5","Cpne5",0
"Cdkn1a","Cdkn1a",1
"Srsf3","Srsf3",1
"Stk38","Stk38",1
"Kctd20","Kctd20",4
"LOC101958633","LOC101958633",3
"Etv7","Etv7",1
"CUNH6orf222","CUNH6orf222",0
"Dpp10","Dpp10",4
"Brpf3","Brpf3",2
"Mapk13","Mapk13",0
"Mapk14","Mapk14",6
"Slc26a8","Slc26a8",3
"Srpk1","Srpk1",2
"Lhfpl5","Lhfpl5",0
"Clpsl2","Clpsl2",2
"Armc12","Armc12",2
"LOC101967141","LOC101967141",1
"Fkbp5","Fkbp5",1
"Tead3","Tead3",0
"Rpl10a","Rpl10a",2
"Fance","Fance",2
"Ppard","Ppard",3
"Def6","Def6",2
"Znf76","Znf76",3
"Scube3","Scube3",0
"Tcp11","Tcp11",4
"Anks1a","Anks1a",2
"Taf11","Taf11",4
"Uhrf1bp1","Uhrf1bp1",0
"Snrpc","Snrpc",4
"Actr3","Actr3",0
"CUNH6orf106","CUNH6orf106",0
"Pacsin1","Pacsin1",4
"Rps10","Rps10",2
"NUDT3_like","NUDT3_like",4
"SMIM29_like","SMIM29_like",1
"Hmga1","Hmga1",0
"Grm4","Grm4",4
"Lemd2","Lemd2",1
"Slc35f5","Slc35f5",13
"Ip6k3","Ip6k3",3
"UQCC2_like","UQCC2_like",1
"Itpr3","Itpr3",1
"Bak1","Bak1",1
"Zbtb9","Zbtb9",1
"Syngap1","Syngap1",1
"Cuta","Cuta",2
"Phf1","Phf1",2
"Kifc1","Kifc1",2
"Daxx","Daxx",1
"Zbtb22","Zbtb22",1
"Tapbp","Tapbp",2
"Rgl2","Rgl2",5
"Pfdn6","Pfdn6",2
"Wdr46","Wdr46",2
"B3galt4","B3galt4",2
"Rps18","Rps18",2
"Lypd1","Lypd1",4
"Vps52","Vps52",1
"Ring1","Ring1",3
"Hsd17b8","Hsd17b8",1
"Slc39a7","Slc39a7",2
"Rxrb","Rxrb",0
"Col11a2","Col11a2",8
"HLA-DPB1","HLA-DPB1",0
"HLA-DPA1_like","HLA-DPA1_like",1
"Brd2","Brd2",1
"Nckap5","Nckap5",1
"HLA-DMA_like","HLA-DMA_like",0
"HLA-DMB","HLA-DMB",0
"Psmb9","Psmb9",2
"Tap1","Tap1",2
"Psmb8","Psmb8",2
"Tap2","Tap2",2
"HLA-H_containing_gene2867","HLA-H_containing_gene2867",2
"Stim2","Stim2",2
"Tbc1d19","Tbc1d19",9
"Cckar","Cckar",0
"Rbpj","Rbpj",1
"Smim20","Smim20",1
"Sel1l3","Sel1l3",3
"Anapc4","Anapc4",1
"Zcchc4","Zcchc4",0
"Pi4k2b","Pi4k2b",1
"Sepsecs","Sepsecs",1
"Lgi2","Lgi2",4
"Ccdc149","Ccdc149",5
"Dhx15","Dhx15",13
"Ppargc1a","Ppargc1a",1
"Adgra3","Adgra3",2
"Mgat5","Mgat5",11
"Kcnip4","Kcnip4",4
"Pacrgl","Pacrgl",1
"Slit2","Slit2",4
"Lcorl","Lcorl",1
"Ncapg","Ncapg",0
"Dcaf16","Dcaf16",3
"Tmem163","Tmem163",0
"Fam184b","Fam184b",0
"Med28","Med28",1
"Lap3","Lap3",4
"Qdpr","Qdpr",2
"Ldb2","Ldb2",4
"Tapt1","Tapt1",1
"Prom1","Prom1",1
"Cd38","Cd38",2
"Bst1","Bst1",6
"Fbxl5","Fbxl5",1
"Cc2d2a","Cc2d2a",0
"Cpeb2","Cpeb2",0
"Bod1l1","Bod1l1",6
"Rab28","Rab28",1
"Hs3st1","Hs3st1",2
"Znf518b","Znf518b",6
"Wdr1","Wdr1",2
"Slc2a9","Slc2a9",4
"Drd5","Drd5",4
"Tmem128","Tmem128",1
"Lyar","Lyar",6
"Zbtb49","Zbtb49",1
"Nsg1","Nsg1",1
"Stx18","Stx18",4
"Msx1","Msx1",18
"Stk32b","Stk32b",2
"Evc2","Evc2",16
"Evc","Evc",2
"CRMP1_gene2946","CRMP1_gene2946",5
"CUNH4orf50","CUNH4orf50",1
"JAKMIP1_like","JAKMIP1_like",1
"JAKMIP1","JAKMIP1",2
"Wfs1","Wfs1",2
"Ppp2r2c","Ppp2r2c",4
"Man2b2","Man2b2",1
"MRFAP1","MRFAP1",1
"MRFAP1_containing","MRFAP1_containing",2
"Bloc1s4","Bloc1s4",6
"Tbc1d14","Tbc1d14",2
"Ccdc96","Ccdc96",4
"Tada2b","Tada2b",1
"Grpel1","Grpel1",4
"Sorcs2","Sorcs2",4
"Afap1","Afap1",1
"Ablim2","Ablim2",7
"Sh3tc1","Sh3tc1",0
"Htra3","Htra3",2
"Acox3","Acox3",2
"Trmt44","Trmt44",1
"Cpz","Cpz",2
"Lrpap1","Lrpap1",7
"Dok7","Dok7",0
"Hgfac","Hgfac",6
"Rgs12","Rgs12",1
"Msantd1","Msantd1",3
"Htt","Htt",4
"Grk4","Grk4",2
"Nop14","Nop14",4
"Mfsd10","Mfsd10",2
"Add1","Add1",2
"Sh3bp2","Sh3bp2",4
"Tnip2","Tnip2",0
"Fam193a","Fam193a",0
"Rnf4","Rnf4",6
"Cfap99","Cfap99",6
"Zfyve28","Zfyve28",3
"Mxd4","Mxd4",6
"Haus3","Haus3",6
"Poln","Poln",5
"Nat8l","Nat8l",7
"Nelfa","Nelfa",2
"Nsd2","Nsd2",6
"Letm1","Letm1",9
"Tmem161b","Tmem161b",2
"Fgfr3","Fgfr3",6
"Tacc3","Tacc3",2
"Tmem129","Tmem129",6
"Slbp","Slbp",4
"Fam53a","Fam53a",3
"Uvssa","Uvssa",15
"LOC110597535","LOC110597535",5
"Maea","Maea",5
"Ctbp1","Ctbp1",2
"Spon2","Spon2",0
"Fgfrl1","Fgfrl1",1
"Idua","Idua",3
"Slc26a1","Slc26a1",0
"Dgkq","Dgkq",0
"Tmem175","Tmem175",1
"Gak","Gak",2
"Cplx1","Cplx1",4
"Pcgf3","Pcgf3",1
"LOC110597523","LOC110597523",0
"Mfsd7","Mfsd7",9
"Atp5i","Atp5i",2
"LOC110597537","LOC110597537",1
"Pigg","Pigg",5
"ZNF717_containing_gene3029","ZNF717_containing_gene3029",3
"Tomm7","Tomm7",0
"LOC106144675","LOC106144675",1
"Fam126a","Fam126a",1
"Klhl7","Klhl7",6
"Nupl2","Nupl2",1
"Gpnmb","Gpnmb",2
"Malsu1","Malsu1",2
"Tra2a","Tra2a",1
"Ccdc126","Ccdc126",0
"TUBB2A_containing","TUBB2A_containing",1
"FAM221A_like","FAM221A_like",0
"Npy","Npy",0
"Mpp6","Mpp6",1
"Dfna5","Dfna5",3
"Osbpl3","Osbpl3",2
"CUNH7orf31","CUNH7orf31",1
"Npvf","Npvf",4
"Nfe2l3","Nfe2l3",1
"Hnrnpa2b1","Hnrnpa2b1",2
"Cbx3","Cbx3",5
"Snx10","Snx10",1
"Skap2","Skap2",6
"Hibadh","Hibadh",1
"Tax1bp1","Tax1bp1",1
"Jazf1","Jazf1",11
"Creb5","Creb5",8
"Tril","Tril",3
"Chn2","Chn2",11
"Prr15","Prr15",5
"Wipf3","Wipf3",3
"Scrn1","Scrn1",14
"Fkbp14","Fkbp14",1
"Plekha8","Plekha8",6
"Mturn","Mturn",2
"TMEM161B-AS1_containing_gene31","TMEM161B-AS1_containing_gene31",5
"LOC110597556","LOC110597556",2
"Znrf2","Znrf2",1
"Nod1","Nod1",8
"Ggct","Ggct",1
"Gars","Gars",5
"Crhr2","Crhr2",0
"Mindy4","Mindy4",1
"Aqp1","Aqp1",2
"Adcyap1r1","Adcyap1r1",1
"Neurod6","Neurod6",0
"Ppp1r17","Ppp1r17",0
"Pde1c","Pde1c",0
"Lsm5","Lsm5",0
"Avl9","Avl9",2
"Kbtbd2","Kbtbd2",1
"Rp9","Rp9",1
"Fkbp9","Fkbp9",10
"Nt5c3a","Nt5c3a",2
"Bbs9","Bbs9",1
"Atp6v1d","Atp6v1d",2
"Bmper","Bmper",2
"Npsr1","Npsr1",0
"Dpy19l1","Dpy19l1",1
"Herpud2","Herpud2",5
"Sept7","Sept7",8
"Eepd1","Eepd1",0
"Kiaa0895","Kiaa0895",3
"Anln","Anln",11
"Aoah","Aoah",1
"Elmo1","Elmo1",4
"Sfrp4","Sfrp4",1
"Epdr1","Epdr1",1
"Stard3nl","Stard3nl",5
"Amph","Amph",1
"Vps41","Vps41",1
"Pou6f2","Pou6f2",3
"Yae1d1","Yae1d1",0
"Rala","Rala",4
"HDHD2_gene3163","HDHD2_gene3163",0
"Cdk13","Cdk13",1
"Mplkip","Mplkip",5
"Sugct","Sugct",6
"Inhba","Inhba",2
"Gli3","Gli3",3
"CUNH7orf25","CUNH7orf25",1
"Psma2","Psma2",2
"Mrpl32","Mrpl32",3
"Hecw1","Hecw1",2
"Stk17a","Stk17a",0
"Blvra","Blvra",2
"Mrps24","Mrps24",2
"URGCP","URGCP",1
"Ube2d4","Ube2d4",2
"Dbnl","Dbnl",2
"Polm","Polm",3
"Aebp1","Aebp1",12
"Pold2","Pold2",2
"Gck","Gck",1
"Ykt6","Ykt6",2
"Camk2b","Camk2b",4
"Nudcd3","Nudcd3",2
"Ddx56","Ddx56",2
"Tmed4","Tmed4",2
"Ogdh","Ogdh",4
"Zmiz2","Zmiz2",7
"Ppia","Ppia",1
"H2AFV_gene3204","H2AFV_gene3204",2
"Purb","Purb",1
"LOC101963011","LOC101963011",5
"Ccm2","Ccm2",2
"Nacad","Nacad",6
"Tbrg4","Tbrg4",3
"Ramp3","Ramp3",1
"Adcy1","Adcy1",4
"Igfbp3","Igfbp3",1
"Tns3","Tns3",1
"Pkd1l1","Pkd1l1",6
"Hus1","Hus1",1
"CUNH7orf57","CUNH7orf57",0
"Upp1","Upp1",6
"TRIM34","TRIM34",0
"Igsf1","Igsf1",3
"Arhgap36","Arhgap36",1
"Enox2","Enox2",3
"Rbmx2","Rbmx2",0
"Slc25a14","Slc25a14",9
"Znf280c","Znf280c",1
"Rab33a","Rab33a",0
"Aifm1","Aifm1",2
"Elf4","Elf4",4
"Bcorl1","Bcorl1",1
"Utp14a","Utp14a",12
"Zdhhc9","Zdhhc9",10
"Sash3","Sash3",11
"Xpnpep2","Xpnpep2",0
"Apln","Apln",0
"Ocrl","Ocrl",0
"Smarca1","Smarca1",0
"Prr32","Prr32",0
"DCAF12L1","DCAF12L1",1
"Tenm1","Tenm1",4
"Stag2","Stag2",6
"Xiap","Xiap",13
"Thoc2","Thoc2",3
"Gria3","Gria3",4
"TMEM161B-AS1_containing_gene33","TMEM161B-AS1_containing_gene33",5
"C1galt1c1","C1galt1c1",0
"Mcts1","Mcts1",4
"Cul4b","Cul4b",9
"Lamp2","Lamp2",2
"Tmem255a","Tmem255a",1
"Zbtb33","Zbtb33",1
"Nkap","Nkap",6
"Ndufa1","Ndufa1",7
"Rnf113a","Rnf113a",2
"Upf3b","Upf3b",5
"Rpl39","Rpl39",1
"Sept6","Sept6",0
"Nkrf","Nkrf",4
"Ube2a","Ube2a",4
"CUNHXorf56","CUNHXorf56",0
"Slc25a5","Slc25a5",1
"Slc25a43","Slc25a43",1
"LOC101960828","LOC101960828",1
"Pgrmc1","Pgrmc1",1
"Lonrf3","Lonrf3",2
"Zcchc12","Zcchc12",6
"Il13ra1","Il13ra1",2
"Dock11","Dock11",4
"Wdr44","Wdr44",4
"Klhl13","Klhl13",4
"Grm8","Grm8",4
"Znf800","Znf800",1
"Gcc1","Gcc1",1
"Arf5","Arf5",2
"Snd1","Snd1",1
"Lrrc4","Lrrc4",1
"Rbm28","Rbm28",6
"Prrt4","Prrt4",1
"Impdh1","Impdh1",0
"Hilpda","Hilpda",1
"Calu","Calu",5
"Ccdc136","Ccdc136",1
"Flnc","Flnc",0
"Atp6v1f","Atp6v1f",2
"Kcp","Kcp",3
"Lamb1","Lamb1",2
"Dld","Dld",2
"Cbll1","Cbll1",1
"Bcap29","Bcap29",0
"Dus4l","Dus4l",1
"Cog5","Cog5",3
"Gpr22","Gpr22",1
"Hbp1","Hbp1",1
"Prkar2b","Prkar2b",2
"Pik3cg","Pik3cg",3
"Nampt","Nampt",2
"Sypl1","Sypl1",10
"LOC110597568","LOC110597568",2
"Atxn7l1","Atxn7l1",1
"LOC101954600","LOC101954600",2
"Rint1","Rint1",5
"Pus7","Pus7",2
"Srpk2","Srpk2",0
"Kmt2e","Kmt2e",1
"LHFPL3_like","LHFPL3_like",1
"Orc5","Orc5",3
"Reln","Reln",0
"Psmc2","Psmc2",2
"Dnajc2","Dnajc2",5
"Pmpcb","Pmpcb",2
"Napepld","Napepld",1
"Armc10","Armc10",2
"Lrrc17","Lrrc17",5
"Fam185a","Fam185a",0
"Ccdc146","Ccdc146",4
"Fgl2","Fgl2",1
"Gsap","Gsap",6
"Ptpn12","Ptpn12",1
"Rsbn1l","Rsbn1l",1
"Tmem60","Tmem60",5
"Phtf2","Phtf2",1
"Magi2","Magi2",5
"LOC101973973","LOC101973973",1
"Gtf2h2c","Gtf2h2c",1
"Ocln","Ocln",5
"Marveld2","Marveld2",1
"Rad17","Rad17",4
"Ak6","Ak6",3
"Taf9","Taf9",2
"Ccdc125","Ccdc125",0
"Cdk7","Cdk7",6
"Mrps36","Mrps36",2
"Ccnb1","Ccnb1",0
"Slc30a5","Slc30a5",6
"Pik3r1","Pik3r1",11
"Cd180","Cd180",1
"Mast4","Mast4",6
"Srek1","Srek1",2
"Erbin","Erbin",4
"Nln","Nln",4
"Sgtb","Sgtb",9
"Trappc13","Trappc13",2
"Trim23","Trim23",6
"Ppwd1","Ppwd1",1
"ADAMTS6","ADAMTS6",3
"Adamts6","Adamts6",4
"Cwc27","Cwc27",0
"Srek1ip1","Srek1ip1",0
"Fam159b","Fam159b",5
"Rgs7bp","Rgs7bp",1
"RNF180","RNF180",1
"Rnf180","Rnf180",1
"Htr1a","Htr1a",5
"Ipo11","Ipo11",3
"Dimt1","Dimt1",1
"Kif2a","Kif2a",9
"TRUB2","TRUB2",3
"Zswim6","Zswim6",3
"SMIM15_containing","SMIM15_containing",0
"Smim15","Smim15",1
"Ndufaf2","Ndufaf2",0
"ZNF208_containing_gene3499","ZNF208_containing_gene3499",1
"LINC00461_gene35","LINC00461_gene35",1
"Ercc8","Ercc8",3
"Elovl7","Elovl7",8
"Pde4d","Pde4d",1
"RAB3C_containing_gene3505","RAB3C_containing_gene3505",4
"Rab3c","Rab3c",0
"Znf250","Znf250",1
"Plk2","Plk2",2
"Gpbp1","Gpbp1",0
"Mier3","Mier3",1
"Setd9","Setd9",8
"Map3k1","Map3k1",2
"Mrps35","Mrps35",0
"Rpl8","Rpl8",2
"Ankrd55","Ankrd55",3
"Il6st","Il6st",0
"Slc38a9","Slc38a9",3
"Plpp1","Plpp1",2
"Skiv2l2","Skiv2l2",3
"Dhx29","Dhx29",5
"Gpx8","Gpx8",0
"Esm1","Esm1",18
"Znf7","Znf7",0
"LOC101962730","LOC101962730",4
"Snx18","Snx18",1
"Arl15","Arl15",1
"Ndufs4","Ndufs4",2
"Fst","Fst",1
"Commd5","Commd5",2
"Mocs2","Mocs2",0
"Itga1","Itga1",1
"Pelo","Pelo",1
"Isl1","Isl1",1
"LOC110597595","LOC110597595",1
"Parp8","Parp8",0
"Znf251","Znf251",1
"Emb","Emb",2
"Hcn1","Hcn1",3
"Mrps30","Mrps30",3
"Fgf10","Fgf10",3
"Nnt","Nnt",2
"LOC106144717","LOC106144717",2
"Paip1","Paip1",2
"CUNH5orf34","CUNH5orf34",7
"Tmem267","Tmem267",1
"Hmgcs1","Hmgcs1",1
"Nim1k","Nim1k",1
"Znf131","Znf131",1
"Znf622","Znf622",5
"Arhgap39","Arhgap39",5
"Retreg1","Retreg1",6
"Myo10","Myo10",6
"Basp1","Basp1",7
"LOC110597606","LOC110597606",1
"Cdh18","Cdh18",4
"CUNH8orf82","CUNH8orf82",0
"LINC01351_containing","LINC01351_containing",0
"Brinp3","Brinp3",6
"CFH_like","CFH_like",5
"Pla2g4a","Pla2g4a",2
"Mef2c","Mef2c",12
"Lrrc24","Lrrc24",0
"ODR4_like_gene3604","ODR4_like_gene3604",2
"Tpr","Tpr",4
"Prg4","Prg4",12
"Hmcn1","Hmcn1",0
"Lrrc14","Lrrc14",2
"Ivns1abp","Ivns1abp",1
"Swt1","Swt1",2
"Trmt1l","Trmt1l",6
"Rnf2","Rnf2",3
"Fam129a","Fam129a",2
"Edem3","Edem3",3
"CUNH1orf21","CUNH1orf21",12
"Recql4","Recql4",15
"Tsen15","Tsen15",3
"Colgalt2","Colgalt2",5
"Rgl1","Rgl1",4
"Arpc5","Arpc5",6
"Ncf2","Ncf2",4
"Mfsd3","Mfsd3",7
"Smg7","Smg7",4
"Nmnat2","Nmnat2",3
"Lamc2","Lamc2",5
"Lamc1","Lamc1",2
"Shcbp1l","Shcbp1l",1
"Dhx9","Dhx9",2
"Npl","Npl",3
"Rgs8","Rgs8",15
"Rgs16","Rgs16",3
"Rnasel","Rnasel",0
"Gpt","Gpt",5
"Glul","Glul",7
"Cacna1e","Cacna1e",4
"Ppp1r16a","Ppp1r16a",1
"Ier5","Ier5",0
"MR1_containing","MR1_containing",1
"Stx6","Stx6",1
"Kiaa1614","Kiaa1614",0
"Xpr1","Xpr1",1
"Acbd6","Acbd6",2
"Qsox1","Qsox1",3
"Cep350","Cep350",1
"Tor1aip1","Tor1aip1",1
"TOR1AIP2_containing","TOR1AIP2_containing",6
"LOC101976508","LOC101976508",1
"Fam163a","Fam163a",5
"Tdrd5","Tdrd5",0
"Kifc2","Kifc2",4
"Axdnd1","Axdnd1",5
"Soat1","Soat1",4
"Abl2","Abl2",1
"Tor3a","Tor3a",2
"Fam20b","Fam20b",9
"Ralgps2","Ralgps2",4
"Cyhr1","Cyhr1",0
"Rasal2","Rasal2",1
"LOC101956422","LOC101956422",1
"Sec16b","Sec16b",1
"Brinp2","Brinp2",1
"Astn1","Astn1",4
"Pappa2","Pappa2",5
"Tonsl","Tonsl",3
"Rfwd2","Rfwd2",1
"Tnr","Tnr",4
"Kiaa0040","Kiaa0040",0
"Tnn","Tnn",0
"Mrps14","Mrps14",0
"Cacybp","Cacybp",9
"Rabgap1l","Rabgap1l",1
"Gpr52","Gpr52",0
"LOC110598164","LOC110598164",18
"Vps28","Vps28",2
"Rc3h1","Rc3h1",1
"Zbtb37","Zbtb37",1
"LOC101963015","LOC101963015",1
"Dars2","Dars2",1
"Cenpl","Cenpl",0
"Klhl20","Klhl20",1
"Ankrd45","Ankrd45",3
"Slc9c2","Slc9c2",0
"Prdx6","Prdx6",3
"Tnfsf4","Tnfsf4",0
"Suco","Suco",1
"CUNH1orf105","CUNH1orf105",3
"Pigc","Pigc",0
"Dnm3","Dnm3",1
"Cpsf1","Cpsf1",1
"Mettl13","Mettl13",2
"Vamp4","Vamp4",2
"Prrc2c","Prrc2c",2
"Fmo4","Fmo4",0
"FMO1_gene3729","FMO1_gene3729",2
"Adck5","Adck5",3
"Fmo2","Fmo2",2
"LOC101970518","LOC101970518",1
"Prrx1","Prrx1",4
"Gorab","Gorab",3
"Mettl11b","Mettl11b",0
