"","gene","n","module_n","module_color"
"2637","SNHG14_containing",32,2,"blue"
"2638","Snip1",299,1,"turquoise"
"2639","Snph",13,2,"blue"
"2640","SNRNP200",48,6,"red"
"2641","Snrnp25",16,2,"blue"
"2642","Snrnp40",16,2,"blue"
"2643","Snrpb",5,3,"brown"
"2644","Snrpb2",22,3,"brown"
"2645","Snrpd2",64,3,"brown"
"2646","Snrpd3",22,3,"brown"
"2647","Snrpn",4,7,"black"
"2648","Sntg1",3,4,"yellow"
"2649","Snurf",7,7,"black"
"2650","Snx11",48,1,"turquoise"
"2651","Snx14",7,2,"blue"
"2652","Snx17",94,2,"blue"
"2653","Snx18",15,1,"turquoise"
"2654","Snx8",4,1,"turquoise"
"2655","Socs4",120,1,"turquoise"
"2656","Sod1",67,2,"blue"
"2657","Sod2",13,6,"red"
"2658","Son",40,2,"blue"
"2659","Sorcs2",12,4,"yellow"
"2660","Sorl1",4,8,"pink"
"2661","SORL1_like",6,8,"pink"
"2662","Sort1",3,0,"grey"
"2663","SOX11_G8196",199,1,"turquoise"
"2664","SOX2-OT_like",3,12,"tan"
"2665","SOX4_like",30,1,"turquoise"
"2666","Sox8",11,18,"lightgreen"
"2667","Sp1",149,1,"turquoise"
"2668","SP1_like",180,1,"turquoise"
"2669","Sp2",162,4,"yellow"
"2670","Sp4",15,1,"turquoise"
"2671","SPAG16_like_gene14654",6,4,"yellow"
"2672","Spag7",212,2,"blue"
"2673","Sparcl1",3,8,"pink"
"2674","Spcs1",32,2,"blue"
"2675","Specc1l",23,5,"green"
"2676","Speg",4,4,"yellow"
"2677","Spen",351,1,"turquoise"
"2678","Spg11",14,6,"red"
"2679","Spg7",131,2,"blue"
"2680","SPINDOC_containing",10,1,"turquoise"
"2681","Spint2",3,2,"blue"
"2682","Spop",32,8,"pink"
"2683","SPOPL_like",288,1,"turquoise"
"2684","Spred1",9,1,"turquoise"
"2685","Sprtn",226,1,"turquoise"
"2686","Spryd3",3,9,"magenta"
"2687","Spryd4",204,1,"turquoise"
"2688","Spryd7",5,3,"brown"
"2689","Spty2d1",298,1,"turquoise"
"2690","Sqstm1",28,5,"green"
"2691","Srebf1",76,4,"yellow"
"2692","Srf",125,1,"turquoise"
"2693","Srrm2",5,11,"greenyellow"
"2694","Srsf1",186,1,"turquoise"
"2695","Srsf10",416,1,"turquoise"
"2696","Srsf3",220,1,"turquoise"
"2697","SRSF3_G17416",14,1,"turquoise"
"2698","Srsf4",75,8,"pink"
"2699","Srsf5",240,4,"yellow"
"2700","Srsf6",117,1,"turquoise"
"2701","Srsf7",402,1,"turquoise"
"2702","Srxn1",2,6,"red"
"2703","Ssh1",75,1,"turquoise"
"2704","Ssh2",13,1,"turquoise"
"2705","Ssr3",5,5,"green"
"2706","Sstr1",7,8,"pink"
"2707","Ssu72",201,2,"blue"
"2708","St3gal5",4,2,"blue"
"2709","St3gal6",28,1,"turquoise"
"2710","ST6GAL2_containing",108,1,"turquoise"
"2711","St6galnac3",17,12,"tan"
"2712","St6galnac6",60,2,"blue"
"2713","Stag2",33,1,"turquoise"
"2714","Stam",7,5,"green"
"2715","Stam2",7,5,"green"
"2716","Stard10",99,2,"blue"
"2717","Stard13",52,18,"lightgreen"
"2718","Stard7",41,3,"brown"
"2719","Stip1",16,17,"grey60"
"2720","Stk11",65,2,"blue"
"2721","Stk16",52,3,"brown"
"2722","Stk38",142,1,"turquoise"
"2723","Stk38l",208,1,"turquoise"
"2724","Stk4",343,1,"turquoise"
"2725","Stk40",7,1,"turquoise"
"2726","Stmn2",5,7,"black"
"2727","Stmn3",4,7,"black"
"2728","Stmn4",13,11,"greenyellow"
"2729","Ston2",2,5,"green"
"2730","Strap",19,3,"brown"
"2731","Strn3",276,1,"turquoise"
"2732","Stt3a",10,1,"turquoise"
"2733","Stx6",303,1,"turquoise"
"2734","Suclg1",5,2,"blue"
"2735","Sugt1",31,5,"green"
"2736","Sult4a1",8,7,"black"
