"","gene","n","module_n","module_color"
"1238","Gcc2",36,1,"turquoise"
"1239","Gclm",3,6,"red"
"1240","Gdf11",6,5,"green"
"1241","Gdi1",2,10,"purple"
"1242","Gdpd2",24,5,"green"
"1243","Gemin4",15,1,"turquoise"
"1244","Gemin5",152,1,"turquoise"
"1245","Gemin6",3,6,"red"
"1246","Get4",15,2,"blue"
"1247","Gfod1",6,1,"turquoise"
"1248","Gga2",163,1,"turquoise"
"1249","Ggt7",7,7,"black"
"1250","Ghdc",220,2,"blue"
"1251","Ghitm",8,3,"brown"
"1252","Gid4",49,1,"turquoise"
"1253","Gid8",5,3,"brown"
"1254","Gigyf2",64,1,"turquoise"
"1255","Ginm1",5,3,"brown"
"1256","Gja4",3,2,"blue"
"1257","Gjb1",7,14,"cyan"
"1258","Gjb2",4,16,"lightcyan"
"1259","Gjc2",24,11,"greenyellow"
"1260","Gkap1",40,1,"turquoise"
"1261","Glcci1",188,1,"turquoise"
"1262","Glis2",7,1,"turquoise"
"1263","Gls2",3,2,"blue"
"1264","Glt1d1",5,4,"yellow"
"1265","Gltp",4,11,"greenyellow"
"1266","Gna12",45,3,"brown"
"1267","Gnai3",13,3,"brown"
"1268","Gnao1",4,14,"cyan"
"1269","Gnaq",10,6,"red"
"1270","GNAS_gene10323",5,7,"black"
"1271","Gnb1",113,10,"purple"
"1272","Gnb2",16,2,"blue"
"1273","Gnl2",1,3,"brown"
"1274","Gnpda1",4,6,"red"
"1275","Gnpda2",80,1,"turquoise"
"1276","Gnpnat1",154,1,"turquoise"
"1277","Gnptg",8,2,"blue"
"1278","Gnrh2",8,1,"turquoise"
"1279","Gns",3,3,"brown"
"1280","Gon4l",41,1,"turquoise"
"1281","Gopc",160,1,"turquoise"
"1282","Gorasp2",3,3,"brown"
"1283","Gosr2",8,3,"brown"
"1284","GOT2_gene26236",4,2,"blue"
"1285","Gpatch2",321,1,"turquoise"
"1286","Gpatch2l",11,1,"turquoise"
"1287","Gpatch8",1,1,"turquoise"
"1288","Gpbp1l1",17,1,"turquoise"
"1289","Gpi",8,3,"brown"
"1290","GPM6B_like",11,11,"greenyellow"
"1291","Gpn2",80,1,"turquoise"
"1292","Gpr107",5,3,"brown"
"1293","Gpr108",108,2,"blue"
"1294","Gpr137",9,10,"purple"
"1295","Gpr162",4,7,"black"
"1296","Gpr22",42,1,"turquoise"
"1297","GPR26_containing",29,1,"turquoise"
"1298","Gpr37",3,11,"greenyellow"
"1299","Gpr6",81,1,"turquoise"
"1300","Gpr63",170,1,"turquoise"
"1301","Gpr85",2,5,"green"
"1302","Gprasp1",9,7,"black"
"1303","Gpsm3",5,2,"blue"
"1304","Gpx4",4,2,"blue"
"1305","Gramd1b",10,1,"turquoise"
"1306","Gramd2b",3,2,"blue"
"1307","Gramd4",60,1,"turquoise"
"1308","Grb2",22,2,"blue"
"1309","Grhpr",77,2,"blue"
"1310","Gria2",3,9,"magenta"
"1311","GRIA2_like",53,1,"turquoise"
"1312","Gria3",2,7,"black"
"1313","Grid1",51,4,"yellow"
"1314","Grk4",5,8,"pink"
"1315","Grm3",8,4,"yellow"
"1316","Grm7",45,4,"yellow"
"1317","GRM7_like",5,4,"yellow"
"1318","Grm8",2,7,"black"
"1319","Gskip",46,1,"turquoise"
"1320","Gsta4",16,2,"blue"
"1321","GSTM2_containing",3,5,"green"
"1322","Gsto1",3,2,"blue"
"1323","Gstp1",77,2,"blue"
"1324","Gstz1",56,2,"blue"
"1325","Gtf2e1",16,1,"turquoise"
"1326","Gtf2h1",3,6,"red"
"1327","Gtf2h3",7,3,"brown"
"1328","Gtf2ird1",29,2,"blue"
"1329","Gtpbp2",8,1,"turquoise"
"1330","Gucd1",202,1,"turquoise"
"1331","Guk1",10,2,"blue"
"1332","GXYLT1_containing",6,1,"turquoise"
"1333","H1F0_gene5906",56,2,"blue"
